date,consignee,consignee_country,shipper,shipper_country,shipment_origin,shipment_destination,port_of_lading,port_of_lading_country,port_of_unlading_country,transport_method,goods_shipped,parcel_size_mt,weight,parcel_bin_2
2020-09-10T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Spain,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,5398.24,5000 - 7500
2020-09-10T00:00:00Z,Hamburg Metals Inc.,Panama,Metalurgica Met Mex PeÑoles S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,Panama,Maritime,TORTAS DE ZINC,<4000t,1013.51,0 - 2500
2020-09-09T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Spain,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,>7000t,9098.41,7500 - 10000
2020-09-09T00:00:00Z,Young Poong,South Korea,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,>7000t,11000.41,10000 - 12500
2020-09-08T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Spain,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,>7000t,11334.27,10000 - 12500
2020-09-07T00:00:00Z,"Dowa Metals & Mining Co., Ltd.",Japan,Minera Tizapa Sa De Cv,Mexico,Mexico,Japan,Manzanillo (MX),Mexico,Japan,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,5559.57,5000 - 7500
2020-09-04T00:00:00Z,"Trafigura Pte., Ltd.",Singapore,Mapa Transportes S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,Singapore,Maritime,CONCENTRADO DE ZINC,<4000t,2997.663,2500 - 5000
2020-09-03T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Spain,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,<4000t,1198.98,0 - 2500
2020-09-03T00:00:00Z,"Trafigura Pte., Ltd.",Singapore,Consorcio Minero De Mexico Cormin Mex Sa De Cv,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,Singapore,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,5888.24,5000 - 7500
2020-08-29T00:00:00Z,Youngpoong Corporation,South Korea,Z Inc. International S.A.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADOS DE ZINC,<4000t,223.71,0 - 2500
2020-08-27T00:00:00Z,Ocean Partners Usa Inc.,United States,Mk Metal Trading Mexico S.A. De C.V.,Mexico,Mexico,Canada,Manzanillo (MX),Mexico,United States,Maritime,CONCENTRADO DE ZINC,<4000t,186.558,0 - 2500
2020-08-25T00:00:00Z,"Korea Z Inc. Co., Ltd.",South Korea,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,4000.6,2500 - 5000
2020-08-22T00:00:00Z,"Korea Z Inc. Co., Ltd.",South Korea,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,>7000t,18000.17,12500 and up
2020-08-19T00:00:00Z,"Dowa Metals & Mining Co., Ltd.",Japan,Minera Tizapa Sa De Cv,Mexico,Mexico,Japan,Manzanillo (MX),Mexico,Japan,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,5555.87,5000 - 7500
2020-08-19T00:00:00Z,Youngpoong Corporation,South Korea,Z Inc. International S.A.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADOS DE ZINC,<4000t,284.85,0 - 2500
2020-08-19T00:00:00Z,Ocean Partners Usa Inc.,United States,Mk Metal Trading Mexico S.A. De C.V.,Mexico,Mexico,Canada,Manzanillo (MX),Mexico,United States,Maritime,CONCENTRADO DE ZINC,<4000t,186.749,0 - 2500
2020-08-14T00:00:00Z,Ocean Partners Usa Inc.,United States,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,Canada,Manzanillo (MX),Mexico,United States,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,5500,5000 - 7500
2020-08-13T00:00:00Z,"Korea Z Inc. Co., Ltd.",South Korea,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,>7000t,11000.93,10000 - 12500
2020-08-13T00:00:00Z,Young Poong,South Korea,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,>7000t,11000.63,10000 - 12500
2020-08-11T00:00:00Z,Youngpoong Corporation,South Korea,Z Inc. International S.A.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADOS DE ZINC,<4000t,506.68,0 - 2500
2020-08-06T00:00:00Z,Group Llc,United States,Petrichor Exp. And Service S.A. De C.V.,Mexico,Mexico,China,Manzanillo (MX),Mexico,United States,Maritime,CONCENTRADO INDUSTRIAL DE ZINC,<4000t,38.535,0 - 2500
2020-07-29T00:00:00Z,Nyrstar Sales & Marketing Ag,Switzerland,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,Belgium,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,>7000t,11000.5,10000 - 12500
2020-07-29T00:00:00Z,Glencore International Ag,Switzerland,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,Italy,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,5500.87,5000 - 7500
2020-07-23T00:00:00Z,"Trafigura Pte., Ltd.",Singapore,Mapa Transportes S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,Singapore,Maritime,CONCENTRADO DE ZINC,<4000t,1857.397,0 - 2500
